i y t1 x
"1" 1 5 5 46
"2" 2 1 9 48
"3" 3 2 10 49
"4" 4 1 11 46
"5" 5 4 1 46
"6" 6 1 1 46
"7" 7 2 3 47
"8" 8 1 6 44
"9" 9 1 15 45
"10" 10 2 10 48
"11" 11 1 4 44
"12" 12 1 2 44
"13" 13 2 10 47
"14" 14 2 4 47
"15" 15 3 5 45.67
"16" 16 1 10 45
"17" 17 1 6 45
"18" 18 1 11 45
"19" 19 1 11 46
"20" 20 1 14 48
"21" 21 1 8 43
"22" 22 1 5 47
"23" 23 2 6 46
"24" 24 1 14 48
"25" 25 1 14 47
"26" 26 1 17 47
"27" 27 1 1 46
"28" 28 1 5 44
"30" 29 2 3 44
"31" 30 2 14 44
"32" 31 1 5 45
"33" 32 3 10 46
"34" 33 1 10 43
"35" 34 1 15 46
"36" 35 2 6 46
"37" 36 2 1 44
"38" 37 1 15 44
"39" 38 1 11 45
"40" 39 1 2 47
"41" 40 2 10 45
"42" 41 1 1 47
"43" 42 1 1 45
"44" 43 1 1 45
"45" 44 2 1 47
"46" 45 2 1 46
"47" 46 1 1 47
"48" 47 1 2 43
"49" 48 1 4 45
"50" 49 1 4 45
"51" 50 1 5 44
"52" 51 1 5 47
"53" 52 1 5 44
"54" 53 1 5 44
"55" 54 1 5 45
"56" 55 1 5 44
"57" 56 2 6 45
"58" 57 1 6 45
"59" 58 1 6 46
"60" 59 1 6 45
"61" 60 1 6 45
"62" 61 2 6 45
"63" 62 1 6 46
"64" 63 1 6 48
"65" 64 1 6 45
"66" 65 3 7 46
"67" 66 1 7 46
"68" 67 1 7 45
"69" 68 1 7 43
"70" 69 1 7 46
"71" 70 1 7 46
"72" 71 1 7 44
"73" 72 1 7 43
"74" 73 1 7 46
"75" 74 1 7 45
"76" 75 1 7 43
"77" 76 1 7 46
"78" 77 1 7 43
"79" 78 1 8 46
"80" 79 1 8 45
"81" 80 1 8 43
"82" 81 1 8 45
"83" 82 3 8 46
"84" 83 1 8 44
"85" 84 1 8 45
"86" 85 1 8 44
"87" 86 1 8 43
"88" 87 1 8 44
"89" 88 2 8 45
"90" 89 1 8 43
"91" 90 1 8 45
"92" 91 1 8 45
"93" 92 1 8 46
"94" 93 1 9 45
"95" 94 2 9 44
"96" 95 1 9 44
"97" 96 1 9 44
"98" 97 1 10 45
"99" 98 1 10 47
"100" 99 2 10 47
"101" 100 1 10 46
"102" 101 1 10 44
"103" 102 1 10 45
"104" 103 2 10 45
"105" 104 1 10 47
"106" 105 1 10 44
"107" 106 1 10 43
"108" 107 1 10 45
"109" 108 1 10 47
"110" 109 1 10 45
"111" 110 1 10 43
"112" 111 1 10 45
"113" 112 1 10 45
"114" 113 1 10 47
"115" 114 1 10 44
"116" 115 1 10 46
"117" 116 1 10 45
"118" 117 1 11 43
"119" 118 1 11 46
"120" 119 1 11 44
"121" 120 1 11 43
"122" 121 2 11 45
"123" 122 1 12 45
"124" 123 1 12 45
"125" 124 2 12 45
"126" 125 1 12 45
"127" 126 1 12 45
"128" 127 1 12 44
"129" 128 1 12 45
"130" 129 3 12 45
"131" 130 1 13 46
"132" 131 1 13 46
"133" 132 1 13 46
"134" 133 1 13 45
"135" 134 1 13 45
"136" 135 1 13 46
"137" 136 1 13 46
"138" 137 1 14 45
"139" 138 1 14 47
"140" 139 2 14 47
"141" 140 1 14 45
"142" 141 1 14 45
"143" 142 1 14 46
"144" 143 1 14 45
"145" 144 2 14 46
"146" 145 1 14 45
"147" 146 1 14 47
"148" 147 1 14 43
"149" 148 1 14 46
"150" 149 1 15 45
"151" 150 1 15 46
"152" 151 1 15 46
"153" 152 1 15 43
"154" 153 1 15 45
"155" 154 1 15 45
"156" 155 1 2 46
"157" 156 1 13 45
"158" 157 1 9 45
"159" 158 1 6 45
"160" 159 1 13 45
"161" 160 1 6 46
"162" 161 1 12 44
"163" 162 2 1 45
"164" 163 1 1 45
"165" 164 1 14 45
