i y t x
"1" 1 1 1 45
"2" 2 5 1 40
"3" 3 2 1 37
"4" 4 4 2 45
"5" 5 5 1 43
"6" 6 1 1 45
"7" 7 1 5 45
"8" 8 5 1 37
"9" 9 3 1 38
"10" 10 4 1 42
"11" 11 4 1 38
"12" 12 5 1 36
"13" 13 1 5 41
"14" 14 3 1 38
"15" 15 4 1 37
"16" 16 2 1 41
"17" 17 1 1 37
"18" 18 2 2 45
"19" 19 2 1 33
"20" 20 2 2 41
"21" 21 2 2 42
"22" 22 2 2 46
"23" 23 1 3 47
"24" 24 1 3 36
"25" 25 1 4 43
"26" 26 1 5 36
"27" 27 1 5 40
"28" 28 1 5 42
"29" 29 1 5 40
"30" 30 1 5 47
"31" 31 1 4 43
"32" 32 1 4 31
"33" 33 1 4 43
"34" 34 1 4 43
"35" 35 2 3 40.22
"36" 36 2 3 33
"37" 37 1 3 47
"38" 38 3 2 37
"39" 39 1 2 36
"40" 40 2 2 44
"41" 41 1 1 35
"42" 42 1 1 38
"43" 43 1 1 49

